,Class 0,Class 1
00,-10.769516037258176,-7.530855461230048
000,-10.769516037258176,-7.0002272101678775
000pes,-10.076368856698231,-9.833440554224094
008704050406,-10.769516037258176,-9.140293373664148
0125698789,-10.076368856698231,-9.833440554224094
02,-10.769516037258176,-8.224002641789994
0207,-10.769516037258176,-9.140293373664148
02073162414,-10.769516037258176,-8.734828265555985
021,-10.769516037258176,-8.734828265555985
03,-10.769516037258176,-7.636215976887874
04,-10.769516037258176,-8.04168108499604
05,-10.769516037258176,-8.447146193104203
050703,-10.769516037258176,-9.140293373664148
0578,-10.769516037258176,-9.140293373664148
06,-10.769516037258176,-8.224002641789994
07008009200,-10.769516037258176,-9.140293373664148
07046744435,-10.769516037258176,-9.140293373664148
07090201529,-10.769516037258176,-9.140293373664148
07090298926,-10.769516037258176,-9.140293373664148
07123456789,-10.769516037258176,-9.140293373664148
07732584351,-10.769516037258176,-9.140293373664148
07734396839,-10.769516037258176,-9.140293373664148
07742676969,-10.769516037258176,-8.734828265555985
0776xxxxxx,-10.769516037258176,-9.140293373664148
07781482378,-10.769516037258176,-8.734828265555985
07786200117,-10.769516037258176,-9.140293373664148
077xxx,-10.769516037258176,-9.140293373664148
07801543489,-10.769516037258176,-9.140293373664148
07821230901,-10.769516037258176,-9.140293373664148
078498,-10.769516037258176,-9.140293373664148
07880867867,-10.769516037258176,-9.140293373664148
07946746291,-10.769516037258176,-9.140293373664148
0796xxxxxx,-10.769516037258176,-9.140293373664148
07973788240,-10.769516037258176,-9.140293373664148
07xxxxxxx,-10.769516037258176,-9.140293373664148
08,-10.769516037258176,-8.734828265555985
0800,-10.769516037258176,-7.7539990125442575
08000407165,-10.769516037258176,-9.140293373664148
08000776320,-10.769516037258176,-8.734828265555985
08000839402,-10.769516037258176,-7.268491196762557
08000930705,-10.769516037258176,-7.636215976887874
08000938767,-10.769516037258176,-9.140293373664148
08001950382,-10.769516037258176,-8.447146193104203
08002888812,-10.769516037258176,-8.734828265555985
08002986906,-10.769516037258176,-8.447146193104203
08002988890,-10.769516037258176,-9.140293373664148
0808,-10.769516037258176,-8.734828265555985
08081263000,-10.769516037258176,-9.140293373664148
08081560665,-10.769516037258176,-9.140293373664148
0825,-10.769516037258176,-8.734828265555985
0844,-10.769516037258176,-9.140293373664148
08448350055,-10.769516037258176,-9.140293373664148
0845,-10.769516037258176,-8.447146193104203
08450542832,-10.769516037258176,-9.140293373664148
08452810073,-10.769516037258176,-9.140293373664148
0870,-10.769516037258176,-8.224002641789994
08700621170150p,-10.769516037258176,-9.140293373664148
08701213186,-10.769516037258176,-9.140293373664148
08701237397,-10.769516037258176,-9.140293373664148
08701417012,-10.769516037258176,-8.734828265555985
08701417012150p,-10.769516037258176,-9.140293373664148
087016248,-10.769516037258176,-9.140293373664148
0870241182716,-10.769516037258176,-9.140293373664148
08702490080,-10.769516037258176,-9.140293373664148
08702840625,-10.769516037258176,-8.447146193104203
08704050406,-10.769516037258176,-9.140293373664148
08704439680,-10.769516037258176,-9.140293373664148
08704439680ts,-10.769516037258176,-9.140293373664148
08706091795,-10.769516037258176,-9.140293373664148
0870737910216ans,-10.769516037258176,-9.140293373664148
08707509020,-10.769516037258176,-8.447146193104203
0870753331018,-10.769516037258176,-9.140293373664148
08709222922,-10.769516037258176,-9.140293373664148
08709501522,-10.769516037258176,-9.140293373664148
0871,-10.769516037258176,-8.734828265555985
08712101358,-10.769516037258176,-9.140293373664148
08712103738,-10.769516037258176,-9.140293373664148
0871212025016,-10.769516037258176,-9.140293373664148
08712300220,-10.769516037258176,-8.734828265555985
08712317606,-10.769516037258176,-9.140293373664148
08712400602450p,-10.769516037258176,-8.734828265555985
08712402050,-10.769516037258176,-8.734828265555985
08712402972,-10.769516037258176,-9.140293373664148
08712404000,-10.769516037258176,-9.140293373664148
08712405020,-10.769516037258176,-8.734828265555985
08712405022,-10.769516037258176,-9.140293373664148
08712460324,-10.769516037258176,-7.636215976887874
08712466669,-10.769516037258176,-9.140293373664148
0871277810710p,-10.769516037258176,-9.140293373664148
0871277810810,-10.769516037258176,-8.734828265555985
0871277810910p,-10.769516037258176,-9.140293373664148
08714342399,-10.769516037258176,-9.140293373664148
087147123779am,-10.769516037258176,-9.140293373664148
08714712388,-10.769516037258176,-9.140293373664148
08714712412,-10.769516037258176,-9.140293373664148
08715203649,-10.769516037258176,-9.140293373664148
08715203652,-10.769516037258176,-9.140293373664148
08715203685,-10.769516037258176,-9.140293373664148
08715203694,-10.769516037258176,-9.140293373664148
087152525273,-10.769516037258176,-9.140293373664148
08715500022,-10.769516037258176,-9.140293373664148
087157002,-10.769516037258176,-9.140293373664148
08715705022,-10.769516037258176,-8.734828265555985
08717111821,-10.769516037258176,-9.140293373664148
08717205546,-10.769516037258176,-9.140293373664148
0871750,-10.769516037258176,-8.734828265555985
08717507382,-10.769516037258176,-9.140293373664148
08717890890,-10.769516037258176,-9.140293373664148
08717898035,-10.769516037258176,-8.734828265555985
08718711108,-10.769516037258176,-9.140293373664148
0871872001,-10.769516037258176,-9.140293373664148
08718720201,-10.769516037258176,-8.224002641789994
08718725756,-10.769516037258176,-9.140293373664148
08718726270,-10.769516037258176,-9.140293373664148
087187262701,-10.769516037258176,-9.140293373664148
08718726970,-10.769516037258176,-9.140293373664148
087187272008,-10.769516037258176,-9.140293373664148
08718727870,-10.769516037258176,-9.140293373664148
08718727870150ppm,-10.769516037258176,-9.140293373664148
08718730555,-10.769516037258176,-9.140293373664148
0871873066,-10.769516037258176,-9.140293373664148
