words,Class 0,Class 1
00,-10.088555334998107,-8.28858473467096
000,-10.088555334998107,-7.125433924865279
008704050406,-10.781702515558052,-8.799410358436951
0089,-10.781702515558052,-9.204875466545115
01223585236,-10.781702515558052,-9.204875466545115
01223585334,-10.781702515558052,-9.204875466545115
02,-10.781702515558052,-8.51172828598517
0207,-10.781702515558052,-8.799410358436951
02073162414,-10.781702515558052,-9.204875466545115
03,-10.781702515558052,-7.818581105425224
04,-10.781702515558052,-8.106263177877006
05,-10.781702515558052,-8.799410358436951
0578,-10.781702515558052,-9.204875466545115
06,-10.781702515558052,-8.28858473467096
07,-10.781702515558052,-9.204875466545115
07008009200,-10.781702515558052,-9.204875466545115
07046744435,-10.781702515558052,-9.204875466545115
07090298926,-10.781702515558052,-9.204875466545115
07123456789,-10.781702515558052,-9.204875466545115
0721072,-10.781702515558052,-9.204875466545115
07734396839,-10.781702515558052,-9.204875466545115
07742676969,-10.781702515558052,-8.799410358436951
07753741225,-10.781702515558052,-9.204875466545115
0776xxxxxxx,-10.781702515558052,-9.204875466545115
07781482378,-10.781702515558052,-9.204875466545115
07786200117,-10.781702515558052,-9.204875466545115
07815296484,-10.781702515558052,-9.204875466545115
07821230901,-10.781702515558052,-8.799410358436951
07880867867,-10.781702515558052,-9.204875466545115
0789xxxxxxx,-10.781702515558052,-9.204875466545115
07946746291,-10.781702515558052,-9.204875466545115
0796xxxxxx,-10.781702515558052,-9.204875466545115
07xxxxxxxxx,-10.781702515558052,-8.799410358436951
08,-10.781702515558052,-9.204875466545115
0800,-10.781702515558052,-8.28858473467096
08000407165,-10.781702515558052,-8.799410358436951
08000776320,-10.781702515558052,-8.799410358436951
08000839402,-10.781702515558052,-7.333073289643524
08000930705,-10.781702515558052,-7.952112498049747
08000938767,-10.781702515558052,-8.51172828598517
08001950382,-10.781702515558052,-8.28858473467096
08002888812,-10.781702515558052,-9.204875466545115
08002986030,-10.781702515558052,-8.799410358436951
08002986906,-10.781702515558052,-8.28858473467096
08006344447,-10.781702515558052,-9.204875466545115
0808,-10.781702515558052,-8.51172828598517
08081263000,-10.781702515558052,-9.204875466545115
08081560665,-10.781702515558052,-9.204875466545115
0825,-10.781702515558052,-9.204875466545115
0844,-10.781702515558052,-9.204875466545115
0845,-10.781702515558052,-9.204875466545115
08452810071,-10.781702515558052,-9.204875466545115
08452810073,-10.781702515558052,-8.799410358436951
08452810075,-10.781702515558052,-9.204875466545115
08452810075über18,-10.781702515558052,-9.204875466545115
0870,-10.781702515558052,-7.952112498049747
08700621170150p,-10.781702515558052,-8.799410358436951
08701213186,-10.781702515558052,-9.204875466545115
08701237397,-10.781702515558052,-9.204875466545115
08701417012,-10.781702515558052,-8.799410358436951
08701417012150p,-10.781702515558052,-8.799410358436951
087016248,-10.781702515558052,-9.204875466545115
08701752560,-10.781702515558052,-9.204875466545115
087018728737,-10.781702515558052,-9.204875466545115
0870241182716,-10.781702515558052,-8.799410358436951
08702840625,-10.781702515558052,-8.51172828598517
08704050406,-10.781702515558052,-9.204875466545115
08704439680,-10.781702515558052,-8.799410358436951
08706091795,-10.781702515558052,-9.204875466545115
08707509020,-10.781702515558052,-8.106263177877006
0870753331018,-10.781702515558052,-9.204875466545115
08708034412,-10.781702515558052,-9.204875466545115
08708800282,-10.781702515558052,-9.204875466545115
