text,language
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",english
"Dakag बिंदु तक जाओ, पागल. केवल Bag Non महान विश्व cag में उपलब्ध है... वहाँ एक अधिक wack मिला...",hindi
"Gehen Sie bis jurong Punkt, verrückt.. Verfügbar nur in buggis n great world la e buffet... Cine there got amore wat...",german
"Allez jusqu'à Jurong point, fou.. Disponible seulement dans bugis n grand monde la e buffet... Cine il y a eu plus...",french
Ok lar... Joking wif u oni...,english
ओके लामर.... if if uue पर.,hindi
Ok Lar... joking wif u oni...,german
J'ai fait une blague sur le wif u oni...,french
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,english
Fktatatat 21 मई को प्राप्त करने के लिए मुफ्त प्रविष्टि में. पाठ FAO को 87121 में प्रविष्टि प्राप्त करने के लिए(stibook दर) TTVERVE है 0. 08375750818 के मूल्य लागू करता है,hindi
"Freier Eintritt in 2 a wkly comp zum Gewinn FA Cup Final tkts 21. Mai 2005. Text FA bis 87121, um Eingangsfrage zu erhalten(std txt rate)T&C's gelten 08452810075over18's",german
Entrée libre dans 2 a wkly comp pour gagner FA Cup final tkts 21 mai 2005. Texte FA à 87121 pour recevoir la question d'entrée(std txt rate)T&C's appliquer 08452810075over18's,french
U dun say so early hor... U c already then say...,english
Uden इतना जल्दी कहते हैं... तो पहले से ही यूसी कहते हैं...,hindi
U dun sagen so früh... U c schon dann sagen...,german
U dun dit si tôt hor... U c déjà dire alors...,french
"Nah I don't think he goes to usf, he lives around here though",english
"नहीं, मुझे नहीं लगता कि वह हमारे लिए चला जाता है, वह यहाँ के आसपास रहता है हालांकि",hindi
"Nein, ich glaube nicht, dass er zu unsf geht, er lebt hier in der Nähe.",german
"Non, je ne pense pas qu'il va à usf, il vit dans le coin.",french
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",english
"LMag अरे वहाँ प्रिय यह 3 सप्ताह है और कोई शब्द वापस किया गया है! मैं तुम्हें इसके लिए अभी भी कुछ मज़ा चाहते हैं? TbseX chigs, cug1 करने के लिए।",hindi
"FreeMsg Hey da Liebling es war 3 Wochen jetzt und kein Wort zurück! Ich möchte etwas Spaß Sie für es noch? Tb ok! XxX std chgs zu senden, £1,50 zu rcv",german
"FreeMsg Hey il ya ma chérie il a été 3 semaines maintenant et aucun mot de retour! J'aimerais que vous vous amusez encore pour elle? Tb ok! XxX std chgs à envoyer, £1,50 à rcv",french
Even my brother is not like to speak with me. They treat me like aids patent.,english
मेरा भाई भी मेरे साथ बातें करना नहीं चाहता; वे मेरे साथ सहायक की नाई बर्ताव करते हैं।,hindi
Selbst mein Bruder ist nicht gern mit mir sprechen. Sie behandeln mich wie Hilfsmittel Patent.,german
"Même mon frère n'aime pas me parler, ils me traitent comme un brevet d'aide.",french
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,english
जैसा कि प्रति आपकी निवेदन 'Malagagagagaghtagaghuga' (ओएगंखनन्ख) सेट कर दिया गया है सभी प्रतिनिधियों के लिए आपके कॉलर्स के लिए. *9 अपने दोस्तों को फ़ोन करने की प्रतिलिपि बनाने के लिए क्लिक करें,hindi
"Gemäß Ihrer Anfrage 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" wurde als Anrufer für alle Anrufer eingestellt. Drücken Sie *9, um Ihre Freunde zu kopieren Callertune",german
"Conformément à votre demande, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' a été définie comme votre callertune pour tous les appelants. Appuyez sur *9 pour copier vos amis Callertune",french
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,english
