labels,text_en,translated_de
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Gehe bis zum Jurong Point, verrückt... Nur in Bugis und Great World gibt es das Buffet... Im Kino gibt es Amore, was..."
ham,"Ok lar... Joking wif u oni...","Ok lar... Ich mache nur Spaß mit dir..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's","Kostenlose Teilnahme an einem 2-wöchigen Wettbewerb um Tickets für das FA Cup-Finale am 21. Mai 2005. Senden Sie FA an 87121, um die Eingabefrage zu erhalten (Standard-SMS-Gebühr). Es gelten die Geschäftsbedingungen. 08452810075 über 18 Jahre alt."
ham,"U dun say so early hor... U c already then say...","U dun say so early hor... U c already then say... Du sagst das nicht so früh, oder... Du siehst es schon dann sag..."
ham,"Nah I don't think he goes to usf, he lives around here though","Nah, ich glaube nicht, dass er zur USF geht, er lebt aber hier in der Nähe."
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","FreeMsg Hallo Liebling, es sind jetzt 3 Wochen vergangen und noch kein Wort zurück! Ich hätte gerne etwas Spaß, bist du noch dabei? Alles klar! Std Kosten zum Senden, £1.50 zum Empfangen."
ham,"Even my brother is not like to speak with me. They treat me like aids patent.","Selbst mein Bruder spricht nicht gerne mit mir. Sie behandeln mich wie ein Aidspatienten."
ham,"As per your request Melle Melle (Oru Minnaminunginte Nurungu Vettam) has been set as your callertune for all Callers. Press *9 to copy your friends Callertune","Gemäß Ihrer Anfrage wurde Melle Melle (Oru Minnaminunginte Nurungu Vettam) als Ihr Anrufton für alle Anrufer eingestellt. Drücken Sie *9, um den Anrufton Ihrer Freunde zu kopieren."
spam,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.","GEWINNER!! Als geschätzter Netzwerkkunde wurden Sie ausgewählt, einen £900 Preis zu erhalten! Rufen Sie zur Beantragung die 09061701461 an. Beantragungscode KL341. Nur 12 Stunden gültig."
spam,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030","Hatten Sie Ihr Mobiltelefon 11 Monate oder länger? Sie haben Anspruch auf ein Update auf die neuesten Farbmobiltelefone mit Kamera kostenlos! Rufen Sie die Mobile Update Co KOSTENLOS unter 08002986030 an."
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","Ich werde bald zu Hause sein und ich will heute Abend nicht mehr über dieses Zeug reden, ok? Ich habe heute schon genug geweint."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SECHS Chancen, GELD zu gewinnen! Von 100 bis 20.000 Pfund sms> CSH11 und senden an 87575. Kosten 150p/Tag, 6 Tage, 16+ Teilnahmebedingungen gelten Antworten HL 4 Info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","DRINGEND! Sie haben eine 1-wöchige KOSTENLOSE Mitgliedschaft in unserem £100.000 Preis-Jackpot gewonnen! Senden Sie das Wort: CLAIM an die Nr. 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.","Ich habe nach den richtigen Worten gesucht, um mich für diese Atempause zu bedanken. Ich verspreche, deine Hilfe nicht als selbstverständlich anzusehen und mein Versprechen zu erfüllen. Du warst immer wundervoll und ein Segen."
ham,"I HAVE A DATE ON SUNDAY WITH WILL!!","ICH HABE AM SONNTAG EIN DATE MIT WILL!!"
